10000,0,2,1024,1013,1006,"0,0,1,0,0",6,1,4,4,5,1005,1003/1004,0
10001,0,2,1014,1006,1004,"0,1,0,0,1",7,0,3,5,4,1002,0,0
10002,0,1,1018,1007,1004,"0,0,0,1,1",8,1,3,3,2,0,1002,0
10003,0,1,1004,1022,1007,"0,0,0,1,1",7,1,3,5,2,0,0,1002
10004,0,2,1013,1005,1007,"0,1,0,0,1",6,0,6,1,7,1003/1004,1001,1002
10005,0,2,1009,1015,1019,"0,0,1,0,0",6,1,5,2,6,1002,1002,0
10007,0,2,1014,1015,1006,"0,1,0,0,1",5,0,6,4,5,1002,1002,0
10008,0,2,1026,1003,1016,"0,0,1,0,0",5,1,7,0,8,1002/1003,0,1003
10009,0,2,1012,1026,1016,"0,0,0,1,1",4,1,6,2,11,1001,1002/1003,1003
10010,0,2,1024,1017,1012,"0,0,0,1,1",5,1,2,8,7,1005,1002+1005,1001
10011,0,2,1016,1010,1025,"0,0,0,1,1",4,1,8,1,7,1003,0,1002/1003
10013,0,2,1017,1024,1007,"0,0,0,1,1",5,1,4,7,3,1002+1005,1005,1002
10014,0,2,1011,1008,1027,"0,0,0,1,1",5,1,3,9,2,1006,0,1006
10015,0,1,1024,1008,1010,"0,0,1,0,0",6,1,4,4,5,1005,0,0
10016,0,2,1011,1014,1003,"0,1,0,0,1",6,0,4,6,3,1006,1002,0
10020,0,2,1015,1017,1023,"0,0,0,0,3",4,1,7,4,4,1002,1002+1005,0
10021,0,2,1002,1025,1005,"0,0,1,0,0",7,1,4,2,5,0,1002/1003,1001
10022,0,1,1022,1004,1012,"0,0,0,1,1",7,1,1,6,6,0,0,1001
10023,0,2,1027,1011,1014,"0,0,0,0,3",4,1,4,10,1,1006,1006,1002
10024,0,2,1005,1013,1016,"0,1,0,0,1",5,0,7,0,10,1001,1003/1004,1003
10025,0,2,1026,1004,1004,"0,0,1,0,0",7,1,3,4,4,1002/1003,0,0
10026,0,2,1013,1004,1001,"0,1,0,0,1",8,0,4,2,3,1003/1004,0,0
10027,0,2,1002,1014,1012,"0,1,0,0,1",6,0,4,5,5,0,1002,1001
10028,0,2,1003,1017,1007,"0,1,0,0,1",6,0,5,4,4,0,1002+1005,1002
10029,0,2,1023,1015,1002,"0,0,0,0,3",6,1,6,2,3,0,1002,0
10030,0,3,1018,1001,1006,"0,0,0,1,1",10,1,1,1,4,0,0,0
10031,0,3,1018,1001,1011,"0,0,1,0,0",9,1,1,4,2,0,0,1006
10032,0,2,1026,1006,1017,"0,0,1,0,0",5,1,5,4,6,1002/1003,0,1002+1005
10033,0,1,1004,1022,1006,"0,0,0,1,1",8,1,1,5,4,0,0,0
10034,0,2,1012,1002,1014,"0,1,0,0,1",6,0,4,5,5,1001,0,1002
10036,0,1,1008,1002,1006,"0,1,0,0,1",8,0,3,3,4,0,0,0
10037,0,2,1014,1005,1018,"0,0,1,0,0",7,1,4,2,5,1002,1001,0
10038,0,2,1022,1017,1011,"0,0,0,1,1",5,1,3,9,2,0,1002+1005,1006
10039,0,2,1001,1013,1016,"0,1,0,0,1",6,0,7,0,6,0,1003/1004,1003
10040,0,2,1017,1007,1001,"0,1,0,0,1",7,0,4,4,3,1002+1005,1002,0
10041,0,2,1026,1013,1004,"0,0,0,0,3",5,1,7,2,4,1002/1003,1003/1004,0
10042,0,2,1006,1008,1015,"0,1,0,0,1",6,0,5,3,6,0,0,1002
10043,0,2,1010,1008,1015,"0,1,0,0,1",5,0,7,2,6,0,0,1002
10044,0,2,1014,1013,1005,"0,1,0,0,1",5,0,7,2,6,1002,1003/1004,1001
